Geography,Time Period,Time Period End Date,Product Universe,Product Level,Department,Category,Subcategory,Brand,UPC,Description,Dollars,"Dollars, Yago",Units,"Units, Yago",Avg % ACV,"Avg % ACV, Yago",Max % ACV,"Max % ACV, Yago",TDP,"TDP, Yago","Dollars, Promo","Dollars, Promo, Yago","Dollars, Non-Promo","Dollars, Non-Promo, Yago","Units, Promo","Units, Promo, Yago","Units, Non-Promo","Units, Non-Promo, Yago",Base Dollars,"Base Dollars, Yago",Base Units,"Base Units, Yago",Incr Dollars,"Incr Dollars, Yago",Incr Units,"Incr Units, Yago","Dollars, Display Only","Dollars, Display Only, Yago","Dollars, Feature Only","Dollars, Feature Only, Yago","Dollars, Feature & Display","Dollars, Feature & Display, Yago","Dollars, TPR","Dollars, TPR, Yago","Units, Display Only","Units, Display Only, Yago","Units, Feature Only","Units, Feature Only, Yago","Units, Feature & Display","Units, Feature & Display, Yago","Units, TPR","Units, TPR, Yago",promoted_price,promoted_price_yago,discount_percentage,discount_percentage_yago,"Avg % ACV, Any Display","Avg % ACV, Any Display, Yago","Avg % ACV, Any Feature","Avg % ACV, Any Feature, Yago","Avg % ACV, Display Only","Avg % ACV, Display Only, Yago","Avg % ACV, Feature Only","Avg % ACV, Feature Only, Yago","Avg % ACV, Feature & Display","Avg % ACV, Feature & Display, Yago","Avg % ACV, TPR","Avg % ACV, TPR, Yago","Max % ACV, Any Display","Max % ACV, Any Display, Yago","Max % ACV, Any Feature","Max % ACV, Any Feature, Yago","Max % ACV, Display Only","Max % ACV, Display Only, Yago","Max % ACV, Feature Only","Max % ACV, Feature Only, Yago","Max % ACV, Feature & Display","Max % ACV, Feature & Display, Yago","Max % ACV, TPR","Max % ACV, TPR, Yago","TDP, Any Display","TDP, Any Display, Yago","TDP, Any Feature","TDP, Any Feature, Yago","TDP, Display Only","TDP, Display Only, Yago","TDP, Feature & Display","TDP, Feature & Display, Yago","TDP, Feature Only","TDP, Feature Only, Yago","TDP, TPR","TDP, TPR, Yago",list_price,list_price_yago,Velocity Dollars,Velocity Units,"Velocity Dollars, Yago","Velocity Units, Yago"
TOTAL US - FOOD,WEEK,03/20/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3473317.29,3152246.26,1798147.14,1526502.61,94.98,95.35,94.98,95.35,726.9,734.35,1245877.48,889073.57,2227439.81,2263172.69,772307.8,491872.56,1025839.34,1034630.05,3051905.28,2813028.3,1476425.57,1283125.82,421412.01000000024,339217.95999999996,321721.56999999983,243376.79000000004,92835.54,66105.82,435446.78,265955.57,28035.73,23957.59,689559.43,533054.59,59929.11,36987.15,270326.91,145919.47,18195.42,13921.66,423856.36,295044.28,1.61318774716506,1.80752829554062,0.164847696984261,0.124688735203193,5.04,4.12,13.04,10.45,3.8,3.29,12.32,10.17,1.36,1.35,40.2,35.09,5.04,4.12,13.04,10.45,3.8,3.29,12.32,10.17,1.36,1.35,40.2,35.09,11.12,9.26,65.69,54.17,8.25,6.53,2.87,2.72,62.82,51.45,121.01,129.19,1.93160905063642,2.06501203427356,3656893.3354390394,1893185.028427037,3305974.053487153,1600946.6282118512
TOTAL US - FOOD,WEEK,03/26/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3425863.27,3118432.18,1737099.21,1566171.63,95.35,94.93,95.35,94.93,803.06,730.09,1036297.59,710629.56,2389565.68,2407802.62,571290.81,441757.19,1165808.4,1124414.44,3159655.74,2965744.83,1539470.14,1428549.01,266207.5299999998,152687.35000000009,197629.07000000007,137622.61999999988,149065.69,58530.54,211378.76,142214.12,7568.3,10746.33,668284.84,499138.57,91882.48,36363.75,113330.99,71796.41,5394.94,4597.25,360682.4,328999.78,1.81395809605269,1.60864288366195,8.02244785366947e-002,0.192090543654941,9.07,3.52,11.96,12.75,8.69,3.28,11.92,12.71,0.38,0.28,44.37,32.67,9.07,3.52,11.96,12.75,8.69,3.28,11.92,12.71,0.38,0.28,44.37,32.67,19.01,7.43,61.98,32.57,18.26,6.84,0.75,0.59,61.23,31.98,144.06,109.13,1.97217479017793,1.9911177806228,3592934.735186157,1821813.5395909809,3284980.7015695777,1649817.3706941956
TOTAL US - FOOD,WEEK,03/27/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3118432.18,2945944.98,1566171.63,1394827.85,94.93,95.03,94.93,95.03,730.09,726.19,710629.56,775638.25,2407802.62,2170306.73,441757.19,424442.24,1124414.44,970385.61,2965744.83,2685666.15,1428549.01,1218641.43,152687.35000000009,260278.83000000007,137622.61999999988,176186.42000000016,58530.54,75833.24,142214.12,274345.73,10746.33,28392.97,499138.57,397066.31,36363.75,42332.65,71796.41,156715.82,4597.25,20067.59,328999.78,205326.18,1.60864288366195,1.8274294518849,0.192090543654941,0.134759980005025,3.52,4.36,12.75,9.53,3.28,3.97,12.71,9.32,0.28,0.77,32.67,28.11,3.52,4.36,12.75,9.53,3.28,3.97,12.71,9.32,0.28,0.77,32.67,28.11,7.43,10.49,32.57,49.42,6.84,8.55,0.59,1.94,31.98,47.48,109.13,87.7,1.9911177806228,2.11204915359268,3284980.7015695777,1649817.3706941956,3100015.763443123,1467776.3337893297
TOTAL US - FOOD,WEEK,04/02/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3581258.46,3284187.1,1826397.44,1675081.16,95.07,94.66,95.07,94.66,828.53,732.79,1121332.05,1042934.19,2459926.41,2241252.91,653407.52,602121.21,1172989.92,1072959.95,3290167.84,2983233.76,1596605.54,1448113.81,291090.62000000011,300953.34000000032,229791.89999999991,226967.34999999986,112226.57,58121.01,431625.56,371705.21,59942.23,31935.97,517537.69,581172,63940.43,29506.58,292318.75,201592.57,46998.76,14580.09,250149.58,356441.97,1.71612969804816,1.73210007001746,0.124795118187828,0.116552100664139,8.46,5.1,9.25,17.56,7.63,4,9.01,17.14,1.8,1.55,39.47,40.66,8.46,5.1,9.25,17.56,7.63,4,9.01,17.14,1.8,1.55,39.47,40.66,20.59,11.81,75.01,95.52,14.95,7.71,5.64,4.1,69.37,91.42,120.01,110.04,1.96083195342192,1.96061371736758,3766970.085200379,1921108.0677395605,3469456.0532431863,1769576.5476442003
TOTAL US - FOOD,WEEK,04/03/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3284187.1,3312638.95,1675081.16,1651036.63,94.66,95.02,94.66,95.02,732.79,728.64,1042934.19,937793.32,2241252.91,2374845.63,602121.21,574292.57,1072959.95,1076744.06,2983233.76,2897482.88,1448113.81,1328378.12,300953.34000000032,415156.0700000003,226967.34999999986,322658.50999999978,58121.01,100120.05,371705.21,202171.65,31935.97,31200.44,581172,604301.18,29506.58,61282.72,201592.57,149048.52,14580.09,24607.32,356441.97,339354.01,1.73210007001746,1.63295394889055,0.116552100664139,0.186127185782973,5.1,4.12,17.56,4.96,4,3.77,17.14,4.93,1.55,1.1,40.66,30.92,5.1,4.12,17.56,4.96,4,3.77,17.14,4.93,1.55,1.1,40.66,30.92,11.81,10.73,95.52,30.2,7.71,7.55,4.1,3.19,91.42,27.02,110.04,113.21,1.96061371736758,2.00639942797635,3469456.0532431863,1769576.5476442003,3486254.42012208,1737567.491054515
TOTAL US - FOOD,WEEK,04/09/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3937820.42,3647293.66,2104779.7,1927693.76,95.21,94.75,95.21,94.75,839.56,739.64,1844655.27,1416495.57,2093165.15,2230798.09,1141966.78,883252.93,962812.92,1044440.83,3390268.36,3143036.31,1655178.08,1534682.17,547552.06,504257.35000000009,449601.62000000011,393011.59000000008,221016.31,79025.35,684991.65,684269.85,54781.07,128309.07,883866.24,524891.3,135419.72,45529.35,424732.3,462479.51,47211.06,95666.79,534603.7,279577.28,1.61533181376782,1.60372586593061,0.136599121403638,0.152387322575765,11.35,7.67,20.59,15.41,10.52,5.33,20.07,15.24,1.96,4.27,49.38,42.01,11.35,7.67,20.59,15.41,10.52,5.33,20.07,15.24,1.96,4.27,49.38,42.01,28.35,20.84,135.32,98.93,24.36,8.81,4,12.03,131.32,86.9,145.14,112.54,1.87089433635264,1.89205035347523,4135931.5408045375,2210670.8328957045,3849386.448548813,2034505.2875989445
TOTAL US - FOOD,WEEK,04/10/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3647293.66,3102577.42,1927693.76,1506622.35,94.75,95.3,94.75,95.3,739.64,727.09,1416495.57,1017861.34,2230798.09,2084716.08,883252.93,552346.24,1044440.83,954276.11,3143036.31,2842322.37,1534682.17,1307901.54,504257.35000000009,260255.04999999981,393011.59000000008,198720.81000000006,79025.35,76899,684269.85,76979.35,128309.07,14994.82,524891.3,848988.17,45529.35,46907.26,462479.51,49489.77,95666.79,11852.48,279577.28,444096.73,1.60372586593061,1.84279581589982,0.152387322575765,0.105131963887895,7.67,4.27,15.41,6.06,5.33,4.23,15.24,5.89,4.27,0.3,42.01,53.32,7.67,4.27,15.41,6.06,5.33,4.23,15.24,5.89,4.27,0.3,42.01,53.32,20.84,9.54,98.93,10.99,8.81,9.07,12.03,0.48,86.9,10.52,112.54,185.77,1.89205035347523,2.05929337235705,3849386.448548813,2034505.2875989445,3255590.1573976916,1580925.8656873035
TOTAL US - FOOD,WEEK,04/16/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3982198.65,3450488,2198353.09,1800035.38,95.18,94.71,95.18,94.71,839.93,744.18,1815662.75,1150359.86,2166535.9,2300128.14,1246395.18,701121.57,951957.91,1098913.81,3462257.3,3155530.74,1684782.95,1544118.65,519941.35000000009,294957.25999999978,513570.1399999999,255916.72999999998,113518.06,80224.28,516296.49,257827.72,104618.89,10199.68,1081229.31,802108.18,68649.11,50024.23,382952.07,150426.39,96634.77,7459.07,698159.23,493211.88,1.45673120302022,1.64074236084336,0.195818736601975,0.144064752874733,7.96,4.63,11.88,8.38,6.84,4.24,11.49,8.29,1.6,0.49,47.58,47.77,7.96,4.63,11.88,8.38,6.84,4.24,11.49,8.29,1.6,0.49,47.58,47.77,18.46,9.94,55.71,33.72,13.61,8.63,4.85,1.3,50.86,32.41,162.05,157.55,1.81144633594779,1.91690010004137,4183860.7375499047,2309679.649085942,3643214.0217506075,1900575.8420441346
TOTAL US - FOOD,WEEK,04/17/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3450488,3093731.04,1800035.38,1539454.97,94.71,95.01,94.71,95.01,744.18,727.63,1150359.86,920776.99,2300128.14,2172954.05,701121.57,541689.15,1098913.81,997765.82,3155530.74,2801502.06,1544118.65,1285223.28,294957.25999999978,292228.98,255916.72999999998,254231.68999999994,80224.28,62082.6,257827.72,143009.99,10199.68,44279.31,802108.18,671405.09,50024.23,36105.26,150426.39,102394.68,7459.07,35399.03,493211.88,367790.18,1.64074236084336,1.69982542570771,0.144064752874733,0.154158953734353,4.63,4.37,8.38,4.05,4.24,3.28,8.29,4.05,0.49,1.1,47.77,45.98,4.63,4.37,8.38,4.05,4.24,3.28,8.29,4.05,0.49,1.1,47.77,45.98,9.94,11.03,33.72,19.09,8.63,7.33,1.3,3.7,32.41,15.39,157.55,159.43,1.91690010004137,2.00962749823075,3643214.0217506075,1900575.8420441346,3256216.2298705396,1620308.357015051
TOTAL US - FOOD,WEEK,04/23/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3789438.39,3557387.47,2001695.82,1881442.99,95.28,94.88,95.28,94.88,838.2,748.5,1583793.77,1463380.94,2205644.62,2094006.53,989002.88,913993.84,1012692.94,967449.15,3331048.33,3106761.22,1629909.25,1516515.76,458390.06000000006,450626.25,371786.57000000007,364927.23,114750.66,88061.49,407081.5,503347.06,90004.44,101548.62,971957.17,770423.77,68451.62,51467.76,280264.35,343117.39,67631.37,73618.65,572655.54,445790.04,1.60140460864988,1.60108402918777,0.154089714264178,0.15321332058431,8.63,8.94,10.22,13.18,6.87,7.35,10.11,12.92,2.61,2.81,50.93,56.29,8.63,8.94,10.22,13.18,6.87,7.35,10.11,12.92,2.61,2.81,50.93,56.29,23.74,19.11,78.37,77.67,15.32,11.9,8.41,7.21,69.95,70.46,176.36,169.81,1.89311400470427,1.8907761164743,3977160.358942066,2100856.234256927,3749354.4161045533,1982971.1108768971
TOTAL US - FOOD,WEEK,04/24/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3557387.47,2878404.73,1881442.99,1418251.99,94.88,95.14,94.88,95.14,748.5,724.71,1463380.94,910300.35,2094006.53,1968104.38,913993.84,545805.84,967449.15,872446.15,3106761.22,2621715.3,1516515.76,1202001.22,450626.25,256689.43000000017,364927.23,216250.77000000002,88061.49,71991.03,503347.06,241180.51,101548.62,68063.53,770423.77,529065.28,51467.76,46544.97,343117.39,142661.25,73618.65,46929.41,445790.04,309670.21,1.60108402918777,1.66780983875145,0.15321332058431,0.178234180170061,8.94,6.84,13.18,11.24,7.35,5.25,12.92,10.78,2.81,3.22,56.29,46.64,8.94,6.84,13.18,11.24,7.35,5.25,12.92,10.78,2.81,3.22,56.29,46.64,19.11,17.77,77.67,51.81,11.9,10.58,7.21,7.19,70.46,44.62,169.81,129.97,1.8907761164743,2.02954393880315,3749354.4161045533,1982971.1108768971,3025441.170906033,1490700.010510826
TOTAL US - FOOD,WEEK,04/30/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3667361.36,3307419.66,1892829.15,1734618.01,95.41,94.89,95.41,94.89,843.54,745.5,1577653.23,1265983.25,2089708.13,2041436.41,891337.44,730216.83,1001491.71,1004401.18,3355487.01,3075425.63,1627987.46,1518247.39,311874.35000000009,231994.03000000026,264841.68999999994,216370.62000000011,109788.21,111556.04,611127.33,279219.38,106402.19,9084.35,750335.5,866123.48,62772.26,63800.67,338507.99,141305.66,68364.75,4378.21,421692.44,520732.29,1.76998424973599,1.73370867116278,8.64609581475315e-002,9.07345924489874e-002,9.92,6.38,29.14,20.17,6.52,5.9,27.66,20.09,4.87,0.6,47.49,54.07,9.92,6.38,29.14,20.17,6.52,5.9,27.66,20.09,4.87,0.6,47.49,54.07,25.07,14.44,128.56,70.83,13.06,13.45,12.01,0.99,116.54,69.84,167.17,187.12,1.93750257914192,1.90671354784331,3843791.3845508858,1983889.6866156587,3485530.2560859947,1828030.3614711773
TOTAL US - FOOD,WEEK,05/01/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3307419.66,3058397.95,1734618.01,1550548.71,94.89,94.9,94.89,94.9,745.5,721.78,1265983.25,1203375.71,2041436.41,1855022.24,730216.83,706035.06,1004401.18,844513.65,3075425.63,2751965.6,1518247.39,1266746.29,231994.03000000026,306432.35000000009,216370.62000000011,283802.41999999993,111556.04,56595.41,279219.38,199754.86,9084.35,31281.08,866123.48,915744.36,63800.67,25893.79,141305.66,133440.97,4378.21,23434.42,520732.29,523265.88,1.73370867116278,1.70441353153199,9.07345924489874e-002,0.135895247829515,6.38,4.72,20.17,9.57,5.9,4.01,20.09,9.36,0.6,0.88,54.07,47.01,6.38,4.72,20.17,9.57,5.9,4.01,20.09,9.36,0.6,0.88,54.07,47.01,14.44,10.72,70.83,29.72,13.45,8.37,0.99,2.35,69.84,27.36,187.12,207.98,1.90671354784331,1.97246170357331,3485530.2560859947,1828030.3614711773,3222758.640674394,1633876.406743941
TOTAL US - FOOD,WEEK,05/07/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3821041.2,3460541.05,2002292.82,1832861.44,95.63,95.28,95.63,95.28,851.66,744.23,1434318.37,1405128.66,2386722.83,2055412.39,812517.09,822578.36,1189775.73,1010283.08,3501169.34,3120643.24,1714978.26,1538615.7,319871.86000000034,339897.80999999959,287314.56000000006,294245.74,143214.68,107790.08,290902.49,409091,51634.24,41445.73,948566.96,846801.85,81997.15,63752.12,171605.21,280094.27,32727.43,26269.46,526187.3,452462.51,1.7652777863417,1.70820037132997,7.49633799034984e-002,9.52586467932843e-002,9.89,8.83,15.08,16.1,8.37,6.8,14.31,14.7,2.61,2.59,56.82,57.9,9.89,8.83,15.08,16.1,8.37,6.8,14.31,14.7,2.61,2.59,56.82,57.9,25.8,17.09,68.32,56.07,18.93,12.84,6.88,4.25,61.44,51.82,256.28,194.29,1.90833286811666,1.8880538236431,3995651.155495138,2093791.5089407093,3631970.0356842987,1923658.1024349285
TOTAL US - FOOD,WEEK,05/08/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3460541.05,3416611.17,1832861.44,1792883.28,95.28,95.36,95.28,95.36,744.23,726.75,1405128.66,1701859.65,2055412.39,1714751.52,822578.36,1036764.68,1010283.08,756118.6,3120643.24,2907582.62,1538615.7,1342589.75,339897.80999999959,509028.54999999981,294245.74,450293.53,107790.08,83100.68,409091,246894.04,41445.73,31770.49,846801.85,1340094.44,63752.12,51303.14,280094.27,138946.19,26269.46,20052.82,452462.51,826462.53,1.70820037132997,1.64151005800082,9.52586467932843e-002,0.138609636711602,8.83,5.77,16.1,11.11,6.8,5.27,14.7,9.99,2.59,1.34,57.9,60.46,8.83,5.77,16.1,11.11,6.8,5.27,14.7,9.99,2.59,1.34,57.9,60.46,17.09,11.04,56.07,43.31,12.84,8.92,4.25,2.12,51.82,41.18,194.29,267.96,1.8880538236431,1.90565175553425,3631970.0356842987,1923658.1024349285,3582855.673238255,1880120.889261745
TOTAL US - FOOD,WEEK,05/14/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3846657.45,3688631.98,2024603.42,2011630.44,95.32,95.29,95.32,95.29,841.43,748.82,1849826.21,1552699.27,1996831.24,2135932.71,1068429.69,956954.66,956173.73,1054675.78,3434037.84,3280556.19,1687046.96,1640582.93,412619.61000000034,408075.79000000004,337556.45999999996,371047.51,128868.35,122489.8,525519.85,464570.94,73303.7,89760.65,1122134.31,875877.88,80904.31,82514.76,307662.23,280266.98,48148.75,68871.42,631714.4,525301.5,1.73135043635862,1.62254214844411,8.87418335962968e-002,0.115131248199728,9.2,8.33,14.47,23.85,8.14,6.85,14.43,23.42,2.17,2.6,63.33,49,9.2,8.33,14.47,23.85,8.14,6.85,14.43,23.42,2.17,2.6,63.33,49,21.95,22.23,88.88,91.92,15.91,14.86,6.04,7.37,82.84,84.55,278.45,173.54,1.89995601706531,1.83365289501187,4035519.7754930765,2124006.9450272764,3870953.9091195296,2111061.433518732
TOTAL US - FOOD,WEEK,05/15/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3688631.98,3280566.59,2011630.44,1711287.03,95.29,95.51,95.29,95.51,748.82,729.12,1552699.27,1477046.8,2135932.71,1803519.79,956954.66,865219.37,1054675.78,846067.66,3280556.19,2872342.69,1640582.93,1358711.08,408075.79000000004,408223.89999999991,371047.51,352575.94999999995,122489.8,110322.28,464570.94,238465.54,89760.65,34573.08,875877.88,1093685.9,82514.76,64671.1,280266.98,138880.93,68871.42,22233.77,525301.5,639433.57,1.62254214844411,1.70713561348031,0.115131248199728,0.109483391465023,8.33,7.23,23.85,13.3,6.85,5.67,23.42,12.53,2.6,2.39,49,60.35,8.33,7.23,23.85,13.3,6.85,5.67,23.42,12.53,2.6,2.39,49,60.35,22.23,18.19,91.92,57.21,14.86,13.05,7.37,5.15,84.55,52.07,173.54,226,1.83365289501187,1.91701715287353,3870953.9091195296,2111061.433518732,3434788.5980525594,1791735.9752905455
TOTAL US - FOOD,WEEK,05/21/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,4036827.07,3491012.05,2257682.66,1906233.95,95.65,95.23,95.65,95.23,849.94,748.98,1968667.23,1716180.18,2068159.84,1774831.87,1208813.34,1032571.8,1048869.32,873662.15,3488213.33,3092931.05,1715471.24,1556677.39,548613.73999999976,398081,542211.42000000016,349556.56000000006,249925.95,92449.65,569002.11,623982.57,126395.38,126396.96,1023343.79,873351,175897.92,49089.64,371175.19,416387.81,94519.13,98148.77,567221.1,468945.58,1.62859489125095,1.6620444021423,8.91731594185281e-002,9.24564509105296e-002,14.8,10.73,22.97,21.04,12.79,7.07,21.3,20.34,5.04,4.46,70.03,58.44,14.8,10.73,22.97,21.04,12.79,7.07,21.3,20.34,5.04,4.46,70.03,58.44,43.04,29.45,127.29,127.05,30.95,14.75,12.09,14.71,115.2,112.34,243.98,186,1.7880400737985,1.83136600310786,4220415.128071092,2360358.2435964453,3665874.251811404,2001715.7933424339
TOTAL US - FOOD,WEEK,05/22/2016,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3491012.05,3265111.99,1906233.95,1836711.45,95.23,95.2,95.23,95.2,748.98,725.88,1716180.18,1703845.43,1774831.87,1561266.56,1032571.8,1134350.97,873662.15,702360.48,3092931.05,2811535.58,1556677.39,1345459.95,398081,453576.41000000015,349556.56000000006,491251.5,92449.65,121469.27,623982.57,355209.46,126396.96,133691.44,873351,1093475.26,49089.64,83189.08,416387.81,258858.81,98148.77,111543.69,468945.58,680759.39,1.6620444021423,1.50204431878786,9.24564509105296e-002,0.155060528651235,10.73,10.31,21.04,14.5,7.07,7.03,20.34,13.36,4.46,4.92,58.44,63.32,10.73,10.31,21.04,14.5,7.07,7.03,20.34,13.36,4.46,4.92,58.44,63.32,29.45,29.01,127.05,58.61,14.75,15.91,14.71,13.1,112.34,45.51,186,222.67,1.83136600310786,1.77769458016936,3665874.251811404,2001715.7933424339,3429739.4852941176,1929318.7499999998
TOTAL US - FOOD,WEEK,05/28/2017,TPL,BRAND,REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,MINUTE MAID,,MINUTE MAID,3980680.49,3584382.44,2339684.59,1990275.81,95.67,95.27,95.67,95.27,861.81,750.15,2298502.8,1722287.44,1682177.69,1862095,1554036.95,1067387.16,785647.64,922888.65,3432545.45,3220273.17,1699310.92,1624573.07,548135.04,364109.27,640373.66999999993,365702.74,150976.24,164858.3,954313.31,531334.62,275934.92,148323.69,917278.33,877770.83,85201.34,100004,691628.99,375029.43,225430.48,115083.24,551776.14,477270.49,1.47905286293225,1.61355457938992,0.130671954232136,0.104052454995712,19.11,12.6,46.41,23.31,11.14,9.76,44.35,22.37,11.85,5.85,58.47,61.33,19.11,12.6,46.41,23.31,11.14,9.76,44.35,22.37,11.85,5.85,58.47,61.33,53.64,35.87,178.07,91.65,24.75,21.03,28.89,14.83,149.18,76.81,205.19,181.25,1.70137483787932,1.80094759831302,4160845.08205289,2445578.122713494,3762341.1777054686,2089089.7554319303
